HGNC ID	Approved symbol	Status	Previous symbols	Alias symbols
HGNC:4365	GLYS1	Entry Withdrawn		
HGNC:4366	GLYT2L	Symbol Withdrawn		
HGNC:4367	GM2A	Approved		SAP-3, GM2-AP, GM2AP
HGNC:4368	GM2AP1	Approved	GM2AP	
HGNC:38002	GM2AP2	Approved		
HGNC:23843	GMCL1	Approved		FLJ13057, BTBD13, GCL1, SPATA29
HGNC:42863	GMCL1P2	Approved		
HGNC:19717	GMCL2	Approved	GMCL1L, GMCL1P1	GCL
HGNC:4369	GMDS	Approved		GMD, SDR3E1
HGNC:48993	GMDS-DT	Approved	GMDS-AS1	
HGNC:4370	GMEB1	Approved		P96PIF, PIF96
HGNC:4371	GMEB2	Approved		P79PIF, KIAA1269, PIF79
HGNC:4372	GMFA	Entry Withdrawn		
HGNC:4373	GMFB	Approved		GMF
HGNC:38654	GMFBP1	Approved		
HGNC:4374	GMFG	Approved		
HGNC:24852	GMIP	Approved		ARHGAP46
HGNC:4375	GML	Approved		LY6DL
HGNC:40049	GMNC	Approved		GEMC1
HGNC:17493	GMNN	Approved		Gem
HGNC:22923	GMPPA	Approved		
HGNC:22932	GMPPB	Approved		KIAA1851
HGNC:4376	GMPR	Approved		GMPR1, hGMPR-I
HGNC:4377	GMPR2	Approved		hGMPR-II
HGNC:4378	GMPS	Approved		GATD7
HGNC:39428	GMPSP1	Approved		
HGNC:4379	GNA11	Approved	HHC2	FBH, FBH2, FHH2
HGNC:4380	GNA12	Approved		gep
HGNC:4381	GNA13	Approved		G13, MGC46138
HGNC:54705	GNA13P1	Approved		
HGNC:4382	GNA14	Approved		
HGNC:50451	GNA14-AS1	Approved		
HGNC:4383	GNA15	Approved		GNA16
HGNC:55293	GNA15-DT	Approved		
HGNC:4384	GNAI1	Approved		
HGNC:4385	GNAI2	Approved	GNAI2B	GIP
HGNC:4386	GNAI2P1	Approved	GNAI2A, GNAI2L	
HGNC:45110	GNAI2P2	Approved		
HGNC:4387	GNAI3	Approved		87U6
HGNC:4388	GNAL	Approved		
HGNC:4389	GNAO1	Approved		G-ALPHA-o
HGNC:24498	GNAO1-AS1	Symbol Withdrawn		
HGNC:27543	GNAO1-DT	Approved	GNAO1-AS1	
HGNC:4390	GNAQ	Approved		G-ALPHA-q, GAQ
HGNC:4391	GNAQP1	Approved	GNAQP	
HGNC:4392	GNAS	Approved	GNAS1	NESP55, NESP, GNASXL, GPSA, SCG6, SgVI
HGNC:24872	GNAS-AS1	Approved	GNASAS, GNAS-AS	SANG, NESP-AS, NESPAS, GNAS1AS, NCRNA00075
HGNC:4393	GNAT1	Approved		CSNBAD3
HGNC:4394	GNAT2	Approved		ACHM4
HGNC:22800	GNAT3	Approved		gustducin, GDCA
HGNC:4395	GNAZ	Approved		
HGNC:4396	GNB1	Approved		
HGNC:55772	GNB1-DT	Approved		
HGNC:4397	GNB1L	Approved		GY2, WDR14
HGNC:4398	GNB2	Approved		
HGNC:4400	GNB3	Approved		
HGNC:20731	GNB4	Approved		
HGNC:4401	GNB5	Approved		GB5
HGNC:23657	GNE	Approved	IBM2	Uae1
HGNC:4404	GNG2	Approved		
HGNC:4405	GNG3	Approved		
HGNC:4406	GNG3LG	Symbol Withdrawn		GNG3LN
HGNC:4407	GNG4	Approved		
HGNC:4408	GNG5	Approved		
HGNC:24826	GNG5B	Approved	GNG5P2	
HGNC:4409	GNG5P1	Approved	GNG5P	
HGNC:33552	GNG5P3	Approved		
HGNC:33553	GNG5P4	Approved		
HGNC:33554	GNG5P5	Approved		
HGNC:4410	GNG7	Approved		FLJ00058
HGNC:19664	GNG8	Approved		
HGNC:4402	GNG10	Approved		
HGNC:49502	GNG10P1	Approved		
HGNC:4403	GNG11	Approved		GNGT11
HGNC:19663	GNG12	Approved		
HGNC:43938	GNG12-AS1	Approved		
HGNC:14131	GNG13	Approved		h2-35, G(gamma)13
HGNC:53439	GNG14	Approved		
HGNC:4411	GNGT1	Approved		GNG1
HGNC:4412	GNGT2	Approved		GNG9
HGNC:4413	GNL1	Approved		HSR1
HGNC:29925	GNL2	Approved		Ngp-1, HUMAUANTIG, Nog2, Nug2
HGNC:50779	GNL2P1	Approved		
HGNC:29931	GNL3	Approved		C77032, E2IG3, MGC800, NS, Nug1
HGNC:25553	GNL3L	Approved		FLJ10613, GNL3B
HGNC:25733	GNL3LP1	Approved	GNL3LP	FLJ12595
HGNC:4414	GNLY	Approved	LAG2	NKG5, LAG-2, D2S69E, TLA519
